har_asset_number,har_asset_type,har_office,har_erf_number,har_model,har_serial_number,har_hostname,har_status,har_vendor,har_date_purchase,har_po_number,har_cost,har_specs
Test01,LAPTOP,PBI ROCES,100001,testLAPTOP,test000001,QCPBTst01,ACTIVE,VENDOR1,1/24/2013,1000000001,48481.25,Spec01
Test02,LAPTOP,PBI ROCES,100002,testLAPTOP,test000002,QCPBTst02,ACTIVE,VENDOR1,1/24/2013,1000000001,48481.25,Spec02
Test03,LAPTOP,PBI ROCES,100003,testLAPTOP,test000003,QCPBTst03,ACTIVE,VENDOR1,1/24/2013,1000000001,48481.25,Spec03
Test04,LAPTOP,PBI ROCES,100004,testLAPTOP,test000004,QCPBTst04,ACTIVE,VENDOR1,1/24/2013,1000000001,48481.25,Spec04
Test05,LAPTOP,PBI STAM,100005,testLAPTOP,test000005,QCPBTst05,ACTIVE,VENDOR1,1/24/2013,1000000001,48481.25,Spec05
Test06,ACCESS POINT,PBI STAM,100006,testAccessPoint,test000006,SMPBTst01,ACTIVE,VENDOR2,1/24/2013,1000000002,12583.15,Spec06
Test07,ACCESS POINT,PBI STAM,100007,testAccessPoint,test000007,SMPBTst02,ACTIVE,VENDOR2,1/24/2013,1000000002,12583.15,Spec07
Test08,ACCESS POINT,PBI ROCES,100008,testAccessPoint,test000008,QCPBTst06,ACTIVE,VENDOR2,1/24/2013,1000000002,12583.15,Spec08
Test09,ACCESS POINT,PBI ROCES,100009,testAccessPoint,test000009,QCPBTst07,ACTIVE,VENDOR2,1/24/2013,1000000002,12583.15,Spec09
Test10,ACCESS POINT,PBI ROCES,100010,testAccessPoint,test000010,QCPBTst08,ACTIVE,VENDOR2,1/24/2013,1000000002,12583.15,Spec10
Test11,PROJECTOR,PBI ROCES,100011,testProjector,test000011,QCPBTst09,ACTIVE,VENDOR1,1/24/2013,1000000003,9675.12,Spec11
Test12,PROJECTOR,PBI ROCES,100012,testProjector,test000012,QCPBTst10,ACTIVE,VENDOR1,1/24/2013,1000000003,9675.12,Spec12
Test13,PROJECTOR,PBI STAM,100013,testProjector,test000013,SMPBTst03,ACTIVE,VENDOR1,1/24/2013,1000000003,9675.12,Spec13
Test14,VIDEO CONFERENCE,PBI ROCES,100014,testVideoConference,test000014,QCPBTst11,ACTIVE,VENDOR1,1/24/2013,1000000003,52455.96,Spec14
Test15,VIDEO CONFERENCE,PBI STAM,100015,testVideoConference,test000015,SMPBTst04,ACTIVE,VENDOR1,1/24/2013,1000000003,52455.96,Spec15
Test16,DIGITAL CAMERA,PBI ROCES,100016,testDigCam,test000016,QCPBTst12,ACTIVE,VENDOR3,1/24/2013,1000000003,352.45,Spec16
Test17,DIGITAL CAMERA,PBI ROCES,100017,testDigCam,test000017,QCPBTst13,ACTIVE,VENDOR3,1/24/2013,1000000003,352.45,Spec17
Test18,DIGITAL CAMERA,PBI STAM,100018,testDigCam,test000018,SMPBTst05,ACTIVE,VENDOR3,1/24/2013,1000000003,352.45,Spec18
Test19,DESKTOP,PBI ROCES,100019,testDesktop,test000019,QCPBTst14,ACTIVE,VENDOR1,1/24/2013,1000000001,45344.09,Spec19
Test19,DESKTOP,PBI ROCES,100020,testDesktop,test000019,QCPBTst14,ACTIVE,VENDOR1,1/24/2013,1000000001,45344.09,Spec20
Test20,DESKTOP,PBI ROCES,100021,testDesktop,test000020,QCPBTst15,ACTIVE,VENDOR1,1/24/2013,1000000001,45344.09,Spec21
Test21,DESKTOP,PBI ROCES,100022,testDesktop,test000021,QCPBTst16,ACTIVE,VENDOR1,1/24/2013,1000000001,45344.09,Spec22
Test22,DESKTOP,PBI STAM,100023,testDesktop,test000022,SMPBTst06,ACTIVE,VENDOR1,1/24/2013,1000000001,45344.09,Spec23
Test23,DESKTOP,PBI STAM,100024,testDesktop,test000023,SMPBTst07,ACTIVE,VENDOR1,1/24/2013,1000000001,45344.09,Spec24
Test24,HARD DRIVE,PBI STAM,100025,testHardDrive,test000024,SMPBTst08,ACTIVE,VENDOR3,1/24/2013,1000000001,4233.25,Spec25
Test25,HARD DRIVE,PBI STAM,100026,testHardDrive,test000025,SMPBTst09,ACTIVE,VENDOR3,1/24/2013,1000000001,4233.25,Spec26
Test25,HARD DRIVE,PBI STAM,100026,testHardDrive,test000025,SMPBTst09,ACTIVE,VENDOR3,1/24/2013,1000000001,4233.25,Spec26
