har_asset_number,har_asset_type,har_office,har_erf_number,har_model,har_serial_number,har_hostname,har_status,har_vendor,har_date_purchase,har_po_number,har_cost
AAA900,DIGITAL CAMERA,PBI ROCES,,Panasonic DMC FZ200,S2HB01715,,Active,J & R Appliance Center,05-Feb-13,4100123059," 22,400.00 "
AAA901,DIGITAL CAMERA,PBI ROCES,,Panasonic DMC FZ200,A3HB00748,,Stockroom,J & R Appliance Center,16-Apr-13,4100126420," 22,400.00 "
AAA902,DIGITAL CAMERA,PBI ROCES,,Panasonic Lumix DMC FZ200,B3HB00439,,Service Unit,J & R Appliance Center,15-Jun-13,4100129614," 20,000.00 "
AAA903,DIGITAL CAMERA,PBI ROCES,,Canon IXUS 125 HS,41812000028,,For Repair,AUTOMATIC CENTER,21-Jun-13,4100130187," 9,107.14 "
AAA904,DIGITAL CAMERA,PBI ROCES,,Canon IXUS 125 HS,41812000020,,For Disposal,AUTOMATIC CENTER,21-Jun-13,4100130187," 9,107.14 "
AAA905,DIGITAL CAMERA,PBI ROCES,,Panasonic Camera Lumix FZ200  with 4GB SD Card,B3-HB00440,,Disposed,J & R Appliance Center,18-Jul-13,4100131529," 22,400.00 "
AAA906,DIGITAL CAMERA,PBI ROCES,,Canon Camera IXUS 125 HS with 4GB SD Card,428120000969,,Active,AUTOMATIC CENTER,16-Jul-13,4100130186," 10,200.00 "
AAA907,DIGITAL CAMERA,PBI ROCES,,Canon Ixus 125 Silver,4.3812E+11,,Stockroom,AUTOMATIC CENTER,10-Sep-13,4100133621," 9,120.64 "
AAA908,DIGITAL CAMERA,PBI ROCES,,Canon Ixus 125 Silver,4.3812E+11,,Service Unit,AUTOMATIC CENTER,10-Sep-13,4100133621," 9,120.64 "
AAA909,DIGITAL CAMERA,PBI ROCES,,Canon Ixus 125 Black,4.2812E+11,,For Repair,AUTOMATIC CENTER,10-Sep-13,4100133625," 10,200.00 "
AAA910,EXTERNAL HARD DISK,PBI STAM,14-293,Seagate 1TB Backup Plus Portable USB 3,NA788LAV,,For Disposal,INFOWORX,30-Sep-14,4100155453," 3,500.00 "
AAA911,EXTERNAL HARD DISK,PBI STAM,14-304,Seagate 2TB SATA,Z4Z196RB,,Disposed,Meridian,20-Nov-14,4100157820," 4,825.00 "
AAA912,EXTERNAL HARD DISK,PBI STAM,14-304,Seagate 2TB SATA,Z4Z196FE,,Active,Meridian,20-Nov-14,4100157820," 4,825.00 "
AAA913,EXTERNAL HARD DISK,PBI STAM,,Seagate Harddisk 250G,6VYCCFJT ,,Stockroom,Zenshin,13-Jan-12,4100104715," 4,475.00 "
AAA914,EXTERNAL HARD DISK,PBI STAM,,Seagate Harddisk 250G, 6VYCGSSR,,Service Unit,Zenshin,13-Jan-12,4100104715," 4,475.00 "
AAA915,LAPTOP,PBI STAM,13-320,HP Probook 430 G1,2CE3500DXX,QCPBOPL08,For Repair,MERIDIAN,14-Jan-14,4100138692," 49,437.50 "
AAA916,LAPTOP,PBI STAM,13-349,HP 4340s LAPTOP,2CE3500DXS,QCPBIAL22,For Disposal,MERIDIAN,14-Jan-14,4100139895," 49,437.50 "
AAA917,LAPTOP,PBI STAM,13-350,HP 4340s LAPTOP,2CE3500DXV,QCPBIAL23,Disposed,MERIDIAN,14-Jan-14,4100139895," 49,437.50 "
AAA918,LAPTOP,PBI STAM,13-306,HP 4340s LAPTOP,2CE3500DXY,QCPBACL15,Active,MERIDIAN,14-Jan-14,4100139895," 49,437.50 "
AAA919,LAPTOP,PBI STAM,13-309,LENOVO TPAD X230,2CE3430373,QCPBITL01,Stockroom,MERIDIAN,27-Jan-14,4100141289," 48,481.25 "
AAA920,LAPTOP,PBI STAM,13-316,LENOVO TPAD X230,2CE3430374,QCPBHRL21,Service Unit,MERIDIAN,27-Jan-14,4100141289," 48,481.25 "
AAA921,LAPTOP,PBI STAM,14-194,Lenovo ThinkPad X240,20AMA01PPHPF0086DS,QCPBTRL07,For Repair,MERIDIAN,01-Apr-14,4100143477," 55,356.25 "
AAA922,LAPTOP,PBI ROCES,14-015,HP Probook 430 G1,2CE4140MN4,SMPBPPL04,For Disposal,MERIDIAN,16-Apr-14,4100143815," 41,062.00 "
AAA923,LAPTOP,PBI ROCES,14-008,HP Probook 430 G1,2CE4140MN9,SMPBABL01,Disposed,MERIDIAN,16-Apr-14,4100143779," 41,062.00 "
AAA924,LAPTOP,PBI ROCES,14-042,HP Probook 430 G1,2CE4140MN0,QCPBLEL13,Active,MERIDIAN,16-Apr-14,4100143818," 41,062.00 "
AAA925,MONITOR,PBI ROCES,,HP ProDisplay P231 23-inch LED Backlit,CNC34901CP,,Stockroom,MERIDIAN,16-Apr-14,4100142958," 8,650.00 "
AAA926,MONITOR,PBI ROCES,,HP ProDisplay P231 23-inch LED Backlit,CNC34901D1,,Service Unit,MERIDIAN,16-Apr-14,4100142958," 8,650.00 "
AAA927,MONITOR,PBI ROCES,,HP ProDisplay P231 23-inch LED Backlit,CNC34901C7,,For Repair,MERIDIAN,16-Apr-14,4100142958," 8,650.00 "
AAA928,MONITOR,PBI ROCES,,HP ProDisplay P231 23-inch LED Backlit,CNC34901CS,,For Disposal,MERIDIAN,16-Apr-14,4100142958," 8,650.00 "
AAA929,MONITOR,PBI ROCES,,HP ProDisplay P231 23-inch LED Backlit,CNC34901CX,,Disposed,MERIDIAN,16-Apr-14,4100142958," 8,650.00 "
